X,Y
0.160000,0.462860
0.217140,0.480000
0.234290,0.531430
0.251430,0.588570
0.228570,0.640000
0.171430,0.668570
0.114290,0.668570
0.057143,0.657140
0.000000,0.628570
0.005714,0.685710
0.034286,0.731430
0.091429,0.748570
0.148570,0.748570
0.205710,0.742860
0.262860,0.720000
0.320000,0.702860
0.377140,0.742860
0.354290,0.794290
0.302860,0.834290
0.245710,0.868570
0.188570,0.891430
0.131430,0.897140
0.108570,0.937140
0.160000,0.977140
0.217140,0.965710
0.274290,0.942860
0.331430,0.908570
0.388570,0.874290
0.434290,0.822860
0.480000,0.771430
0.537140,0.771430
0.560000,0.828570
0.594290,0.885710
0.645710,0.942860
0.702860,0.982860
0.760000,1.000000
0.805710,0.977140
0.800000,0.925710
0.742860,0.908570
0.685710,0.868570
0.640000,0.811430
0.617140,0.754290
0.662860,0.708570
0.720000,0.714290
0.777140,0.737140
0.834290,0.737140
0.891430,0.725710
0.948570,0.680000
0.988570,0.622860
0.994290,0.565710
0.948570,0.548570
0.914290,0.594290
0.862860,0.645710
0.805710,0.657140
0.748570,0.634290
0.748570,0.577140
0.760000,0.520000
0.760000,0.462860
0.788570,0.417140
0.840000,0.365710
0.868570,0.308570
0.891430,0.251430
0.897140,0.194290
0.868570,0.137140
0.817140,0.160000
0.817140,0.217140
0.800000,0.274290
0.765710,0.331430
0.714290,0.342860
0.668570,0.285710
0.674290,0.240000
0.702860,0.182860
0.708570,0.125710
0.691430,0.068571
0.657140,0.022857
0.600000,0.034286
0.611430,0.091429
0.628570,0.148570
0.600000,0.200000
0.542860,0.228570
0.485710,0.222860
0.428570,0.234290
0.371430,0.211430
0.360000,0.154290
0.365710,0.097143
0.377140,0.040000
0.337140,0.000000
0.297140,0.034286
0.285710,0.091429
0.280000,0.148570
0.285710,0.205710
0.308570,0.262860
0.297140,0.320000
0.262860,0.377140
0.217140,0.400000
0.171430,0.348570
0.160000,0.291430
0.160000,0.234290
0.154290,0.177140
0.114290,0.165710
0.080000,0.211430
0.080000,0.268570
0.080000,0.325710
0.097143,0.382860
0.131430,0.434290
0.160000,0.462860
