X,Y
0.031348,0.507840
0.025078,0.548590
0.025078,0.589340
0.025078,0.630090
0.021944,0.670850
0.018809,0.711600
0.015674,0.752350
0.012539,0.793100
0.009404,0.833860
0.003135,0.874610
0.000000,0.915360
0.012539,0.956110
0.050157,0.984330
0.090909,0.990600
0.131660,0.996870
0.172410,0.996870
0.213170,1.000000
0.253920,1.000000
0.294670,1.000000
0.335420,1.000000
0.376180,0.993730
0.416930,0.990600
0.457680,0.987460
0.498430,0.987460
0.539180,0.987460
0.579940,0.974920
0.620690,0.959250
0.652040,0.921630
0.655170,0.880880
0.652040,0.840130
0.667710,0.805640
0.708460,0.811910
0.749220,0.811910
0.789970,0.808780
0.830720,0.786830
0.865200,0.749220
0.890280,0.708460
0.909090,0.667710
0.924760,0.626960
0.934170,0.586210
0.940440,0.545450
0.940440,0.504700
0.940440,0.463950
0.918500,0.423200
0.877740,0.394980
0.836990,0.379310
0.796240,0.369910
0.755490,0.360500
0.714730,0.341690
0.673980,0.307210
0.636360,0.275860
0.639500,0.316610
0.639500,0.357370
0.642630,0.398120
0.642630,0.438870
0.683390,0.438870
0.724140,0.445140
0.764890,0.451410
0.805640,0.463950
0.846390,0.485890
0.868340,0.526650
0.868340,0.567400
0.858930,0.608150
0.840130,0.648900
0.821320,0.689660
0.793100,0.730410
0.752350,0.749220
0.711600,0.736680
0.683390,0.699060
0.664580,0.658310
0.633230,0.617550
0.623820,0.576800
0.623820,0.536050
0.623820,0.495300
0.623820,0.454550
0.623820,0.413790
0.620690,0.373040
0.620690,0.332290
0.617550,0.291540
0.614420,0.250780
0.614420,0.210030
0.614420,0.169280
0.608150,0.128530
0.586210,0.087774
0.548590,0.056426
0.507840,0.031348
0.467080,0.018809
0.426330,0.006270
0.385580,0.000000
0.344830,0.000000
0.304080,0.000000
0.263320,0.000000
0.222570,0.012539
0.181820,0.015674
0.141070,0.018809
0.100310,0.034483
0.062696,0.072100
0.047022,0.112850
0.043887,0.153610
0.043887,0.194360
0.043887,0.235110
0.040752,0.275860
0.037618,0.316610
0.037618,0.357370
0.034483,0.398120
0.034483,0.438870
0.031348,0.479620
0.031348,0.507840
