X,Y
0.258170,0.235381
0.417238,0.605960
-0.009873,0.573771
-0.035936,0.699629
-0.034345,0.756586
0.048401,0.924656
0.036423,0.415755
0.487471,0.376141
0.158095,0.204502
0.561472,0.493347
0.482504,0.369452
0.169124,0.204930
0.043719,0.330717
0.044121,0.299059
0.139469,0.203249
-0.035115,0.717014
0.235991,0.820624
-0.013721,0.587975
0.522455,0.516284
0.202659,0.218338
-0.023773,0.622385
-0.034381,0.890370
0.244193,0.814547
0.035219,0.935039
0.204799,0.219471
0.219055,0.832483
0.476882,0.363522
0.432231,0.594007
0.561953,0.457839
0.044675,0.359944
0.039808,0.368637
-0.034495,0.757113
0.096934,0.197249
0.207823,0.840969
-0.031924,0.732292
0.267596,0.780771
0.454406,0.561984
0.037692,0.407154
0.253972,0.804594
-0.000395,0.536339
